Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,BTC,Total
31-May-24,169.1,5.9,0,0,0,0,0,-1.9,0,-124.3,-,48.8
3-Jun-24,0,77,14.3,10.7,0,0,0,2,1.1,0,-,105.1
4-Jun-24,274.4,378.7,61,138.7,0,0,1.6,4,0,28.2,-,886.6
5-Jun-24,155.4,220.6,18.5,71.4,3.6,0,0,4,0,14.6,-,488.1
6-Jun-24,349.9,3.1,-3.1,-96.6,0,0,0,2,0,-37.6,-,217.7
7-Jun-24,168.3,0,-7.9,6.9,0,0,0,0,0,-36.3,-,131
10-Jun-24,6.3,-3,7.6,0,-20.5,0,-15.8,0,0,-39.5,-,-64.9
11-Jun-24,0,-7.4,-11.7,-56.5,0,0,0,-3.8,0,-121,-,-200.4
12-Jun-24,15.6,50.6,14.5,8.5,0,0,0,11.6,0,0,-,100.8
13-Jun-24,18.2,-106.4,-9.8,-52.7,-2.7,0,0,-11.3,0,-61.5,-,-226.2
14-Jun-24,1.5,-80.1,-7.1,-49,-2.9,0,0,0,0,-52.3,-,-189.9
17-Jun-24,0,-92,2.9,-50,0,0,0,-3.8,0,-3,-,-145.9
18-Jun-24,0,-83.1,-7,0,0,0,0,0,0,-62.3,-,-152.4
19-Jun-24,-,-,-,-,-,-,-,-,-,-,-,0
20-Jun-24,1.5,-51.1,-31.5,0,-2,0,0,-3.7,0,-53.1,-,-139.9
21-Jun-24,0,-44.8,0,-28.8,0,1.9,0,0,0,-34.2,-,-105.9
24-Jun-24,0,-35.2,-8.2,-7.2,-2.4,-20.9,0,-10.2,0,-90.4,-,-174.5
25-Jun-24,0,48.8,15.2,-6.2,0,0,0,3.5,0,-30.3,-,31
26-Jun-24,0,18.6,0,-4.9,0,0,0,3.4,0,4.3,-,21.4
27-Jun-24,0,6.7,8,1.8,3.1,3.6,0,0,0,-11.4,-,11.8
28-Jun-24,82.4,-25,0,42.8,0,0,0,0,0,-27.2,-,73
1-Jul-24,0,65,41.4,12.7,3.2,1.8,0,5.4,0,0,-,129.5
2-Jul-24,14.1,5.4,-6.8,2.5,0,0,0,3.5,0,-32.4,-,-13.7
3-Jul-24,0,6.5,0,0,0,0,0,0,0,-27,-,-20.5
4-Jul-24,-,-,-,-,-,-,-,-,-,-,-,0
5-Jul-24,0,117.4,30.2,11.3,0,0,0,12.8,0,-28.6,-,143.1
8-Jul-24,187.2,61.5,11,8.4,0,0,0,1.6,0,25.1,-,294.8
9-Jul-24,121,91,-4.7,43.3,0,0,0,3.3,0,-37.5,-,216.4
10-Jul-24,22.2,57.8,4.7,5.7,9.5,31.7,20.7,3.3,0,-8.2,-,147.4
11-Jul-24,72.1,32.7,7.5,4.3,0,0,0,0,0,-37.7,-,78.9
12-Jul-24,120,115.1,28.4,13,4,0,0,6.6,0,23,-,310.1
15-Jul-24,117.2,36.1,15.2,117.2,7.9,3.7,0,3.6,0,0,-,300.9
16-Jul-24,260.2,61.1,17.3,29.8,20.5,9.4,2.2,22,0,0,-,422.5
17-Jul-24,110.4,2.8,-6,0,0,0,0,0,0,-53.9,-,53.3
18-Jul-24,102.7,2.8,0,-47.6,0,0,0,1.8,0,-22.5,-,37.2
19-Jul-24,116.2,141,44.6,43.6,6.4,3.9,7.6,41.8,1.8,20.3,-,427.2
22-Jul-24,526.7,23.7,-47.7,0,13.7,7.9,0,-38.4,0,0,-,485.9
23-Jul-24,71.9,0,-70.3,-52.3,0,0,0,0,0,-27.3,-,-78
24-Jul-24,66,1.4,0,3.3,0,0,0,0,0,-26.2,-,44.5
25-Jul-24,70.7,0,0,0,0,0,0,0,0,-39.6,-,31.1
26-Jul-24,23.2,4.5,31.4,0,0,0,0,19.2,0,-26.5,-,51.8
29-Jul-24,205.6,-5.9,-21.3,0,0,0,0,0,0,-54.3,-,124.1
30-Jul-24,74.9,-2.9,-3.2,-7.9,0,0,0,-5.6,0,-73.6,-,-18.3
31-Jul-24,21,-31.6,-2.5,-4.6,0,0,0,0,0,0,18,0.3
1-Aug-24,25.9,-48.4,-20.7,-22.4,0,0,0,-3.6,0,-71.3,191.1,50.6
2-Aug-24,42.8,-104.1,-29.4,-87.7,0,0,0,-23,0,-45.9,9.9,-237.4
5-Aug-24,0,-58,2.9,-69,0,0,0,3,0,-69.1,21.8,-168.4
6-Aug-24,0,-64.5,0,-28.9,0,-23,0,0,0,-32.2,0,-148.6
7-Aug-24,52.5,0,3,0,0,0,0,0,10.5,-30.6,9.7,45.1
8-Aug-24,157.6,65.2,0,32.8,0,0,0,3.4,118.5,-182.9,0,194.6
9-Aug-24,9.6,-19.8,-18.1,0,0,0,0,0,0,-77,15.6,-89.7
12-Aug-24,13.4,0,-17.1,35.4,0,0,0,0,0,-11.8,7.9,27.8
13-Aug-24,34.6,22.6,16.5,-6.1,0,0,0,0,0,-28.6,0,39
14-Aug-24,2.7,-18,-5.8,-6.8,0,3.4,0,0,0,-56.9,0,-81.4
15-Aug-24,0,16.2,6.2,0,0,0,0,0,0,-25,13.7,11.1
16-Aug-24,20.4,61.3,12,13.4,0,1.7,0,0,0,-72.9,0,35.9
19-Aug-24,92.7,3.9,-25.7,0,-8.8,0,0,0,0,0,0,62.1
20-Aug-24,55.4,0,-6.5,51.9,0,0,0,0,0,-12.8,0,88
21-Aug-24,8.4,10.7,10,0,2.5,3.5,0,0,0,-9.8,14.2,39.5
22-Aug-24,75.5,9.2,-11.5,7.8,0,0,0,3.4,4.8,-28.4,4,64.8
23-Aug-24,86.8,64,42.3,23.8,3.2,0,2.3,14.4,0,-35.6,50.8,252
26-Aug-24,224.1,-8.3,-16.6,0,0,5.5,0,-7.2,5.1,0,0,202.6
27-Aug-24,0,0,-6.8,-102,0,0,-,0,0,-18.3,0,-127.1
28-Aug-24,0,-10.4,-8.7,-59.3,0,0,0,-10.1,0,-8,-8.8,-105.3
29-Aug-24,-13.5,-31.1,-8.1,5.3,0,0,-1.7,0,0,-22.7,0,-71.8
30-Aug-24,0,-12.9,-16.4,-65,-11.1,0,0,0,0,-70.2,0,-175.6
2-Sep-24,-,-,-,-,-,-,-,-,-,-,-,0
3-Sep-24,0,-162.3,-25,-33.6,-2.3,-8.4,-2.5,-3.3,0,-50.4,0,-287.8
4-Sep-24,0,-7.6,9.5,0,0,0,-,-4.9,0,-34.2,0,-37.2
5-Sep-24,0,-149.5,-30,0,0,0,0,0,0,-23.2,-8.4,-211.1
6-Sep-24,0,-85.5,-14.3,-7.2,0,0,-4.6,0,0,-52.9,-5.5,-170
9-Sep-24,-9.1,28.6,22,6.8,3.1,0,0,0,0,-22.8,0,28.6
10-Sep-24,0,63.2,0,12.7,0,0,0,0,0,0,41.1,117
11-Sep-24,0,12.6,0,-54,2.6,0,0,0,0,-4.6,-0.5,-43.9
12-Sep-24,0,11.5,2.2,18.3,0,3.4,0,4.9,0,-6.5,5.2,39
13-Sep-24,0,102.1,43.1,99.3,0,5.2,1.7,5.1,0,6.7,0,263.2
Total,"20,908.20","9,642.20","1,995.50","2,356.00",347.9,393.4,522.4,584.1,210.8,"-20,039.50",379.8,"17,300.80"
Average,123,56.7,11.7,13.9,2,2.3,3.1,3.4,1.2,-117.9,2.2,101.8
Maximum,849,473.4,237.9,200.7,63.4,60.9,43.4,118.8,118.5,63,191.1,"1,045.00"
Minimum,-36.9,-191.1,-70.3,-102,-37.5,-23,-20.2,-38.4,-6.2,-642.5,-8.8,-563.7
